id	availability	condition	description	image_link	link	title	price	mpn	gender	google_product_category	shipping	shipping_weight
163594	in stock	new	letter printed sweatshirts, Scoop Neck Letter Printed Christmas Sweatshirt	http://pic.fashionmia.com/catalog/products/original/images/0F5D9C2D37B3/3041644_2.jpg_z.jpg	http://www.fashionmia.com/Products/scoop-neck-letter-printed-christmas-sweatshirt-163594.html	Scoop Neck Letter Printed Christmas Sweatshirt	10.46 USD	0F5D9C2D37B3	female	Apparel & Accessories > Clothing > Shirts & Tops > Sweatshirts	US:*:Ground:3.53 USD	240g
31051	in stock	new	boat neck paillette plain going out mini, Appealing Boat Neck Bawting Cotton Plain Bodycon-dress	http://pic.fashionmia.com/catalog/products/original/images/0F624FA4CE0A/709a5331d68f4f5714879f2ed66c9b58.jpg_z.jpg	http://www.fashionmia.com/Products/sweetchic-batwing-scoop-neck-cotton-plain-bodycon-dress-31051.html	Appealing Boat Neck Bawting Cotton Plain Bodycon-dress	10.95 USD	0F624FA4CE0A	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:2.91 USD	178g
162924	in stock	new	sweaters, Cowl Neck Plain Asymmetric Hem Vented Sweater	http://pic.fashionmia.com/catalog/products/original/images/0F9455047E80/3027008_19.jpg_z.jpg	http://www.fashionmia.com/Products/cowl-neck-plain-asymmetric-hem-vented-sweater-162924.html	Cowl Neck Plain Asymmetric Hem Vented Sweater	19.95 USD	0F9455047E80	female	Apparel & Accessories > Clothing > Shirts & Tops > Sweaters & Cardigans	US:*:Ground:4.37 USD	324g
165370	in stock	new	plain date party fitted one shoulder autumn spring dress 1, One Shoulder Plain Bodycon Dress	http://pic.fashionmia.com/catalog/products/original/images/0FA3AAD0CB37/3045761_5.jpg_z.jpg	http://www.fashionmia.com/Products/one-shoulder-plain-bodycon-dress-165370.html	One Shoulder Plain Bodycon Dress	16.95 USD	0FA3AAD0CB37	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:3.33 USD	220g
162849	in stock	new	round neck floral printed date nightout party fitted, Round Neck Floral Printed Bodycon Dress	http://pic.fashionmia.com/catalog/products/original/images/0FB221D1AF82/3040995_4.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-floral-printed-bodycon-dress-162849.html	Round Neck Floral Printed Bodycon Dress	16.95 USD	0FB221D1AF82	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:4.52 USD	339g
164108	in stock	new	street plain s m l xl hollow out plain hollow out boat neck, Boat Neck Hollow Out Exposed Navel Top And Drawstring Plain Pant	http://pic.fashionmia.com/catalog/products/original/images/1010195FC2E5/3042048_5.jpg_z.jpg	http://www.fashionmia.com/Products/boat-neck-hollow-out-exposed-navel-top-and-drawstring-plain-pant-164108.html	Boat Neck Hollow Out Exposed Navel Top And Drawstring Plain Pant	17.95 USD	1010195FC2E5	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:4.83 USD	370g
163792	in stock	new	round neck printed party vacation above knee shift, Round Neck Shimmering Powder Reindeer Christmas Shift Dress	http://pic.fashionmia.com/catalog/products/original/images/103D298D2FF3/3042488_2.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-shimmering-powder-reindeer-christmas-shift-dress-163792.html	Round Neck Shimmering Powder Reindeer Christmas Shift Dress	13.95 USD	103D298D2FF3	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:3.08 USD	195g
164189	in stock	new	long mid-rise straight autumn spring casual printed curved hem side-vented three-quarter sleeve boat neck s m l xl, Boat Neck Side-Vented Printed Top And Mid-Rise Straight Pant	http://pic.fashionmia.com/catalog/products/original/images/103DF040504B/3044275_3.jpg_z.jpg	http://www.fashionmia.com/Products/boat-neck-side-vented-printed-top-and-mid-rise-straight-pant-164189.html	Boat Neck Side-Vented Printed Top And Mid-Rise Straight Pant	21.07 USD	103DF040504B	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:5.40 USD	427g
163782	in stock	new	spaghetti strap floral printed nightout party knee-length fitted, Spaghetti Strap Floral Printed Bodycon Dress	http://pic.fashionmia.com/catalog/products/original/images/10792B05C787/3042322_4.jpg_z.jpg	http://www.fashionmia.com/Products/spaghetti-strap-floral-printed-bodycon-dress-163782.html	Spaghetti Strap Floral Printed Bodycon Dress	22.95 USD	10792B05C787	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:4.50 USD	337g
165285	in stock	new	cutout decorative lace casual top 1 round neck autumn spring winter t-shirts, Round Neck Decorative Lace Cutout Long Sleeve T-Shirt	http://pic.fashionmia.com/catalog/products/original/images/10B2FB24039E/3044777_5.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-decorative-lace-cutout-long-sleeve-t-shirt-165285.html	Round Neck Decorative Lace Cutout Long Sleeve T-Shirt	12.95 USD	10B2FB24039E	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:2.62 USD	150g
163662	in stock	new	lace patchwork going out party asymmetric neck plus size blouses&t-shirts, V Neck Plain Lace Patchwork Plus Size Blouse	http://pic.fashionmia.com/catalog/products/original/images/10C45F7529F9/3041825_2.jpg_z.jpg	http://www.fashionmia.com/Products/v-neck-plain-lace-patchwork-plus-size-blouse-163662.html	V Neck Plain Lace Patchwork Plus Size Blouse	16.95 USD	10C45F7529F9	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:2.92 USD	180g
164302	in stock	new	drawstring fringe casual autumn spring hooded, Hooded Fringe Trim Fur Ball Cape	http://pic.fashionmia.com/catalog/products/original/images/10C8F63ECB3B/3044156_1.jpg_z.jpg	http://www.fashionmia.com/Products/hooded-fringe-trim-fur-ball-cape-164302.html	Hooded Fringe Trim Fur Ball Cape	13.95 USD	10C8F63ECB3B	female	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Capes & Ponchos	US:*:Ground:4.37 USD	324g
165269	in stock	new	flounce plain date mermaid belt high neck autumn spring belt 1 dress 1, High Neck Belt Plain Mermaid Bodycon Dress	http://pic.fashionmia.com/catalog/products/original/images/10DE065901E7/3045172_4.jpg_z.jpg	http://www.fashionmia.com/Products/high-neck-belt-plain-mermaid-bodycon-dress-165269.html	High Neck Belt Plain Mermaid Bodycon Dress	24.95 USD	10DE065901E7	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:6.23 USD	510g
163627	in stock	new	color block striped t-shirts, Round Neck Striped Color Block Long Sleeve T-shirt	http://pic.fashionmia.com/catalog/products/original/images/10E59C9A76E2/3041789_11.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-striped-color-block-long-sleeve-t-shirt-163627.html	Round Neck Striped Color Block Long Sleeve T-shirt	8.96 USD	10E59C9A76E2	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:2.92 USD	180g
162656	in stock	new	, Round Neck Paisley Printed Bodycon Dress	http://pic.fashionmia.com/catalog/products/original/images/10E7BFEAC23D/3039638_1.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-paisley-printed-bodycon-dress-162656.html	Round Neck Paisley Printed Bodycon Dress	15.95 USD	10E7BFEAC23D	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:2.62 USD	150g
163379	in stock	new	long printed leggings, Halloween Skull Printed Slim-leg Mid-rise Legging	http://pic.fashionmia.com/catalog/products/original/images/10EE2E616A3B/3042037_3.jpg_z.jpg	http://www.fashionmia.com/Products/halloween-skull-printed-slim-leg-mid-rise-legging-163379.html	Halloween Skull Printed Slim-leg Mid-rise Legging	8.95 USD	10EE2E616A3B	female	Apparel & Accessories > Clothing > Pants > Leggings	US:*:Ground:2.23 USD	110g
162872	in stock	new	band collar flap pockets plain, Band Collar Flap Pocket Plain Bomber Jacket	http://pic.fashionmia.com/catalog/products/original/images/10EF3C95C761/3026957_3.jpg_z.jpg	http://www.fashionmia.com/Products/band-collar-flap-pocket-plain-bomber-jacket-162872.html	Band Collar Flap Pocket Plain Bomber Jacket	22.36 USD	10EF3C95C761	female	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Leather & Suede Jackets	US:*:Ground:5.83 USD	470g
163652	in stock	new	plain t-shirts, Off Shoulder Plain Long Sleeve T-shirt	http://pic.fashionmia.com/catalog/products/original/images/10F0481291F6/3027265_2.jpg_z.jpg	http://www.fashionmia.com/Products/off-shoulder-plain-long-sleeve-t-shirt-163652.html	Off Shoulder Plain Long Sleeve T-shirt	9.71 USD	10F0481291F6	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:2.99 USD	186g
163029	in stock	new	plain date going out party empire line, Deep V-neck Plain Elastic Waist Skater Dress	http://pic.fashionmia.com/catalog/products/original/images/11581CBA7BE4/3041360_3.jpg_z.jpg	http://www.fashionmia.com/Products/deep-v-neck-plain-elastic-waist-skater-dress-163029.html	Deep V-neck Plain Elastic Waist Skater Dress	20.95 USD	11581CBA7BE4	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:3.93 USD	280g
